date,open,close,high,low,volume,amount
2020-01-02,4121.35,4152.24,4172.66,4121.35,182116772,270105530368.0
2020-01-03,4161.22,4144.96,4164.3,4131.86,142826245,215216287744.0
2020-01-06,4120.52,4129.3,4170.64,4102.38,175309952,250182070272.0
2020-01-07,4137.4,4160.23,4161.25,4135.1,139489032,196389060608.0
2020-01-08,4139.63,4112.32,4149.81,4101.98,167585851,212406263808.0
2020-01-09,4145.53,4164.37,4165.66,4143.59,136886323,200150351872.0
2020-01-10,4177.58,4163.18,4180.98,4148.48,113031718,177827414016.0
2020-01-13,4166.93,4203.99,4203.99,4148.6,119691983,199795490816.0
2020-01-14,4215.16,4189.89,4223.51,4188.08,129320783,196221263872.0
2020-01-15,4186.88,4166.73,4193.87,4150.88,104633137,163081932800.0
2020-01-16,4174.82,4149.04,4175.29,4142.18,100267643,156242505728.0
2020-01-17,4162.19,4154.85,4177.03,4141.64,98725683,166591590400.0
2020-01-20,4170.74,4185.83,4185.96,4149.49,122409147,202692288512.0
2020-01-21,4165.02,4114.31,4165.02,4113.33,130527506,204586881024.0
2020-01-22,4093.8,4131.93,4141.18,4046.49,126758764,208136151040.0
2020-01-23,4093.32,4003.9,4103.52,3972.39,160357604,250409357312.0
2020-02-03,3639.91,3688.36,3732.16,3639.91,157559647,243303104512.0
2020-02-04,3652.0,3785.64,3786.86,3652.0,213933327,298165768192.0
2020-02-05,3801.1,3828.53,3866.01,3781.61,174925524,264042921984.0
2020-02-06,3841.75,3899.78,3914.92,3806.96,176462236,262820089856.0
2020-02-07,3879.55,3899.87,3899.88,3849.71,151731758,237508816896.0
2020-02-10,3872.37,3916.01,3920.17,3861.01,148406968,229625442304.0
2020-02-11,3926.42,3952.46,3970.52,3915.71,143441674,219307118592.0
2020-02-12,3945.67,3984.43,3984.43,3940.67,126710321,200776708096.0
2020-02-13,3985.88,3959.92,3999.55,3950.14,145001843,228605964288.0
2020-02-14,3954.23,3987.73,4001.56,3954.02,143239803,222895075328.0
2020-02-17,3999.65,4077.42,4077.45,3999.65,182778970,273067819008.0
2020-02-18,4069.83,4057.51,4076.39,4027.79,163236219,242552516608.0
2020-02-19,4049.59,4051.31,4085.17,4042.85,169046441,257554534400.0
2020-02-20,4062.9,4144.66,4148.53,4055.81,212232625,310835589120.0
2020-02-21,4134.87,4149.49,4184.44,4130.17,217213604,326564003840.0
2020-02-24,4131.84,4132.84,4149.01,4097.18,212869304,326387802112.0
2020-02-25,4066.3,4123.85,4126.71,4020.91,244167831,372213719040.0
